Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000	
PatTrie-Word-EvenSplits-50-rawIteration2	1.45	2.94	5.48	9.94	18.29	25.46	32.74	37.05		PatTrie-Word-EvenSplits-50-rawIteration2	22.4	155.1	0.144	55873.0	0.052	0.546		PatTrie-Word-EvenSplits-50-rawIteration2	3.77	6.43	9.03	11.62	14.26	16.84	19.37	21.96		PatTrie-Word-EvenSplits-50-rawIteration2	19.79	39.21	59.15	78.71	98.62	116.99	136.41	155.76	1.60779811E8		PatTrie-Word-EvenSplits-50-rawIteration2	3.72	7.43	11.82	16.49	21.32	25.52	30.24	36.49	
PatTrie-Word-EvenSplits-100-rawIteration0	1.46	2.97	5.11	8.25	14.72	20.77	26.33	28.88		PatTrie-Word-EvenSplits-100-rawIteration0	15.63	148.78	0.105	28003.0	0.043	0.389		PatTrie-Word-EvenSplits-100-rawIteration0	3.48	6.21	9.02	11.81	14.75	17.56	20.34	23.18		PatTrie-Word-EvenSplits-100-rawIteration0	18.1	36.0	54.29	72.34	90.88	107.87	125.9	143.9	1.60779811E8		PatTrie-Word-EvenSplits-100-rawIteration0	2.57	5.27	8.52	11.23	14.68	18.14	20.73	23.83	
PatTrie-Word-EvenSplits-100-rawIteration1	1.46	2.96	5.05	8.18	14.26	20.93	26.13	28.64		PatTrie-Word-EvenSplits-100-rawIteration1	15.63	148.78	0.105	28003.0	0.046	0.376		PatTrie-Word-EvenSplits-100-rawIteration1	3.44	6.17	8.97	11.76	14.58	17.39	20.1	23.04		PatTrie-Word-EvenSplits-100-rawIteration1	18.22	36.14	54.44	72.58	91.11	108.0	126.05	144.07	1.60779811E8		PatTrie-Word-EvenSplits-100-rawIteration1	2.88	5.57	8.45	11.45	14.7	17.45	20.55	23.12	
PatTrie-Word-EvenSplits-100-rawIteration2	1.51	3.03	5.13	8.59	15.12	21.37	27.16	30.58		PatTrie-Word-EvenSplits-100-rawIteration2	15.63	148.78	0.105	28003.0	0.042	0.377		PatTrie-Word-EvenSplits-100-rawIteration2	3.49	6.2	8.98	11.77	14.62	17.4	20.12	22.97		PatTrie-Word-EvenSplits-100-rawIteration2	18.1	36.12	54.41	72.65	91.11	108.0	126.19	144.27	1.60779811E8		PatTrie-Word-EvenSplits-100-rawIteration2	3.05	5.82	8.94	12.05	15.31	18.27	21.47	23.99	
PatTrie-Word-EvenSplits-200-rawIteration0	1.36	2.77	4.62	7.33	12.53	17.57	21.7	24.71		PatTrie-Word-EvenSplits-200-rawIteration0	11.85	145.88	0.081	13843.0	0.036	0.313		PatTrie-Word-EvenSplits-200-rawIteration0	3.54	6.57	9.81	13.01	16.34	19.71	22.79	26.08		PatTrie-Word-EvenSplits-200-rawIteration0	17.76	35.54	53.63	71.36	89.66	106.1	123.98	141.77	1.60779811E8		PatTrie-Word-EvenSplits-200-rawIteration0	2.3	4.51	6.76	9.14	11.65	14.07	16.38	18.56	
PatTrie-Word-EvenSplits-200-rawIteration1	1.37	2.82	4.71	7.31	12.8	17.77	22.24	25.72		PatTrie-Word-EvenSplits-200-rawIteration1	11.85	145.88	0.081	13843.0	0.038	0.292		PatTrie-Word-EvenSplits-200-rawIteration1	3.58	6.64	9.87	13.08	16.49	19.8	22.89	26.15		PatTrie-Word-EvenSplits-200-rawIteration1	17.76	35.48	53.56	71.31	89.81	106.28	124.05	141.98	1.60779811E8		PatTrie-Word-EvenSplits-200-rawIteration1	2.31	4.8	7.06	9.43	11.93	14.67	16.52	18.82	
PatTrie-Word-EvenSplits-200-rawIteration2	1.36	2.78	4.62	7.24	12.13	18.18	22.17	24.85		PatTrie-Word-EvenSplits-200-rawIteration2	11.85	145.88	0.081	13843.0	0.04	0.267		PatTrie-Word-EvenSplits-200-rawIteration2	3.55	6.59	9.85	13.04	16.37	19.68	22.73	26.05		PatTrie-Word-EvenSplits-200-rawIteration2	17.85	35.63	53.72	71.56	89.94	106.44	124.32	142.21	1.60779811E8		PatTrie-Word-EvenSplits-200-rawIteration2	2.3	4.55	6.77	9.17	11.66	14.18	16.13	18.57	
PatTrie-Word-4MinDepth-50-rawIteration0	1.38	2.82	6.08	12.13	22.8	30.4	41.74	49.74		PatTrie-Word-4MinDepth-50-rawIteration0	31.05	166.55	0.186	93563.0	0.06	1.045		PatTrie-Word-4MinDepth-50-rawIteration0	5.48	7.84	10.16	12.46	14.71	16.93	19.11	21.36		PatTrie-Word-4MinDepth-50-rawIteration0	22.36	43.41	64.86	86.19	107.88	128.26	149.46	170.55	1.60779811E8		PatTrie-Word-4MinDepth-50-rawIteration0	6.03	11.36	17.33	23.98	31.68	38.13	45.12	55.22	
PatTrie-Word-4MinDepth-50-rawIteration1	1.39	2.81	6.23	12.08	23.0	30.61	42.46	47.7		PatTrie-Word-4MinDepth-50-rawIteration1	31.05	166.55	0.186	93563.0	0.062	0.772		PatTrie-Word-4MinDepth-50-rawIteration1	12.38	14.78	17.11	19.37	21.67	23.87	26.09	28.46		PatTrie-Word-4MinDepth-50-rawIteration1	22.03	42.82	64.07	85.32	106.84	127.15	148.12	168.96	1.60779811E8		PatTrie-Word-4MinDepth-50-rawIteration1	5.34	10.25	17.06	22.84	30.56	37.0	44.06	53.82	
PatTrie-Word-4MinDepth-50-rawIteration2	1.4	2.83	6.29	12.6	22.35	30.81	41.53	48.36		PatTrie-Word-4MinDepth-50-rawIteration2	31.05	166.55	0.186	93563.0	0.059	0.687		PatTrie-Word-4MinDepth-50-rawIteration2	3.58	6.0	8.29	10.53	12.77	14.96	17.13	19.38		PatTrie-Word-4MinDepth-50-rawIteration2	21.87	42.75	64.06	85.26	106.72	126.94	148.66	169.59	1.60779811E8		PatTrie-Word-4MinDepth-50-rawIteration2	6.23	10.84	16.92	24.48	32.12	38.46	49.98	63.24	
PatTrie-Word-4MinDepth-100-rawIteration0	1.31	2.65	4.76	8.89	16.51	24.07	29.19	36.72		PatTrie-Word-4MinDepth-100-rawIteration0	18.6	154.95	0.12	40658.0	0.049	0.638		PatTrie-Word-4MinDepth-100-rawIteration0	3.11	5.41	7.77	10.09	12.52	14.82	17.12	19.43		PatTrie-Word-4MinDepth-100-rawIteration0	20.16	39.73	60.0	79.91	100.34	118.92	138.53	157.98	1.60779811E8		PatTrie-Word-4MinDepth-100-rawIteration0	2.47	6.22	9.17	12.31	15.52	18.46	22.34	25.66	
PatTrie-Word-4MinDepth-100-rawIteration1	1.31	2.62	4.77	8.85	16.75	23.9	29.92	32.72		PatTrie-Word-4MinDepth-100-rawIteration1	18.6	154.95	0.12	40658.0	0.058	0.508		PatTrie-Word-4MinDepth-100-rawIteration1	3.53	5.78	8.12	10.39	12.8	15.1	17.36	19.68		PatTrie-Word-4MinDepth-100-rawIteration1	19.73	39.06	58.7	78.18	98.13	116.34	136.17	156.05	1.60779811E8		PatTrie-Word-4MinDepth-100-rawIteration1	3.09	6.4	9.51	12.76	15.99	19.5	23.81	27.14	
PatTrie-Word-4MinDepth-100-rawIteration2	1.3	2.63	4.75	8.32	15.18	23.34	29.92	33.42		PatTrie-Word-4MinDepth-100-rawIteration2	18.6	154.95	0.12	40658.0	0.052	0.51		PatTrie-Word-4MinDepth-100-rawIteration2	3.09	5.42	7.77	10.13	12.52	14.75	16.9	19.1		PatTrie-Word-4MinDepth-100-rawIteration2	18.47	36.45	54.78	72.97	91.5	108.45	126.57	144.64	1.60779811E8		PatTrie-Word-4MinDepth-100-rawIteration2	2.37	5.51	9.05	12.26	15.89	18.85	22.53	26.6	
PatTrie-Word-4MinDepth-200-rawIteration0	1.26	2.49	4.09	6.65	11.52	16.52	20.35	22.58		PatTrie-Word-4MinDepth-200-rawIteration0	13.08	149.14	0.088	18655.0	0.045	0.326		PatTrie-Word-4MinDepth-200-rawIteration0	2.77	5.04	7.45	9.82	12.41	14.74	17.1	19.56		PatTrie-Word-4MinDepth-200-rawIteration0	17.22	34.55	52.21	69.59	87.26	103.33	120.56	138.03	1.60779811E8		PatTrie-Word-4MinDepth-200-rawIteration0	1.86	3.69	5.76	8.01	10.82	13.02	15.16	17.34	
PatTrie-Word-4MinDepth-200-rawIteration1	1.22	2.45	4.09	6.72	11.94	16.85	21.22	24.46		PatTrie-Word-4MinDepth-200-rawIteration1	13.08	149.14	0.088	18655.0	0.044	0.439		PatTrie-Word-4MinDepth-200-rawIteration1	2.84	5.15	7.55	9.91	12.48	14.84	17.18	19.63		PatTrie-Word-4MinDepth-200-rawIteration1	17.25	34.43	52.27	69.64	87.25	103.14	120.25	137.55	1.60779811E8		PatTrie-Word-4MinDepth-200-rawIteration1	1.89	3.72	5.78	8.05	10.35	13.07	15.05	17.71	
PatTrie-Word-4MinDepth-200-rawIteration2	1.23	2.47	4.19	6.71	11.69	17.01	20.41	24.26		PatTrie-Word-4MinDepth-200-rawIteration2	13.08	149.14	0.088	18655.0	0.041	0.347		PatTrie-Word-4MinDepth-200-rawIteration2	2.78	5.1	7.49	9.9	12.47	14.83	17.21	19.65		PatTrie-Word-4MinDepth-200-rawIteration2	17.26	34.31	51.76	69.0	86.54	102.64	119.91	137.28	1.60779811E8		PatTrie-Word-4MinDepth-200-rawIteration2	1.89	3.9	6.09	8.64	11.27	13.87	15.94	18.07	
PatTrie-Rand-EvenSplits-40-rawIteration0	1.99	4.13	10.72	34.05	72.29	122.45	185.53	270.4		PatTrie-Rand-EvenSplits-40-rawIteration0	25.94	164.3	0.158	65284.0	0.048	0.705		PatTrie-Rand-EvenSplits-40-rawIteration0	25.24	49.32	73.21	97.37	121.29	145.75	169.66	193.64		PatTrie-Rand-EvenSplits-40-rawIteration0	13.47	27.13	40.9	54.42	68.03	81.78	95.24	108.87	1569299.0		PatTrie-Rand-EvenSplits-40-rawIteration0	50.54	109.09	153.24	194.27	239.63	276.75	304.54	322.01	
PatTrie-Rand-EvenSplits-40-rawIteration1	2.02	4.23	10.5	35.5	75.24	130.47	197.34	278.37		PatTrie-Rand-EvenSplits-40-rawIteration1	25.93	164.21	0.158	65209.0	0.046	0.709		PatTrie-Rand-EvenSplits-40-rawIteration1	24.1	48.26	72.21	96.45	120.46	144.83	168.88	192.95		PatTrie-Rand-EvenSplits-40-rawIteration1	13.63	27.38	41.06	54.77	68.34	82.67	96.39	109.93	1568509.0		PatTrie-Rand-EvenSplits-40-rawIteration1	41.97	88.86	139.37	187.42	225.39	260.63	283.51	296.75	
PatTrie-Rand-EvenSplits-40-rawIteration2	1.97	4.16	9.86	35.03	76.12	127.99	189.69	274.16		PatTrie-Rand-EvenSplits-40-rawIteration2	25.96	164.46	0.158	65343.0	0.047	0.715		PatTrie-Rand-EvenSplits-40-rawIteration2	24.2	48.24	72.63	96.71	120.71	145.0	169.06	193.12		PatTrie-Rand-EvenSplits-40-rawIteration2	13.49	27.35	40.94	54.72	68.31	82.04	95.89	109.64	1569303.0		PatTrie-Rand-EvenSplits-40-rawIteration2	47.37	98.71	157.88	200.98	241.79	280.93	309.15	320.41	
PatTrie-Rand-EvenSplits-80-rawIteration0	1.74	3.77	7.8	27.27	59.01	108.11	172.14	249.73		PatTrie-Rand-EvenSplits-80-rawIteration0	18.52	159.37	0.116	33991.0	0.052	0.706		PatTrie-Rand-EvenSplits-80-rawIteration0	23.96	47.18	70.6	94.76	118.17	141.49	165.11	188.46		PatTrie-Rand-EvenSplits-80-rawIteration0	13.09	26.48	39.9	53.2	67.03	80.31	93.54	106.97	1569299.0		PatTrie-Rand-EvenSplits-80-rawIteration0	42.42	93.7	144.5	196.53	234.7	262.75	297.59	305.42	
PatTrie-Rand-EvenSplits-80-rawIteration1	1.81	3.87	7.85	27.96	62.63	108.23	176.61	246.63		PatTrie-Rand-EvenSplits-80-rawIteration1	18.53	159.42	0.116	33998.0	0.054	0.694		PatTrie-Rand-EvenSplits-80-rawIteration1	23.35	46.78	70.66	94.5	118.27	141.92	165.71	189.28		PatTrie-Rand-EvenSplits-80-rawIteration1	13.16	26.49	39.78	53.13	66.46	80.21	93.59	106.97	1568509.0		PatTrie-Rand-EvenSplits-80-rawIteration1	45.24	98.17	150.08	192.43	229.99	260.39	285.49	293.04	
PatTrie-Rand-EvenSplits-80-rawIteration2	1.84	3.97	7.94	28.86	64.54	108.21	168.15	241.94		PatTrie-Rand-EvenSplits-80-rawIteration2	18.52	159.39	0.116	33988.0	0.054	0.683		PatTrie-Rand-EvenSplits-80-rawIteration2	24.35	47.57	71.62	95.28	118.75	142.59	166.29	189.67		PatTrie-Rand-EvenSplits-80-rawIteration2	13.28	26.51	39.98	53.4	66.81	80.29	93.6	106.93	1569303.0		PatTrie-Rand-EvenSplits-80-rawIteration2	40.06	88.45	138.91	182.82	220.09	257.06	275.25	283.65	
PatTrie-Rand-EvenSplits-160-rawIteration0	1.72	3.72	7.12	28.18	63.83	111.55	170.07	242.34		PatTrie-Rand-EvenSplits-160-rawIteration0	14.82	162.48	0.091	19153.0	0.066	0.652		PatTrie-Rand-EvenSplits-160-rawIteration0	23.2	45.94	69.55	92.74	115.5	138.4	161.18	184.19		PatTrie-Rand-EvenSplits-160-rawIteration0	12.17	24.84	37.38	50.08	62.82	75.46	88.01	100.69	1569299.0		PatTrie-Rand-EvenSplits-160-rawIteration0	39.11	82.68	121.97	159.24	187.23	209.18	223.76	227.64	
PatTrie-Rand-EvenSplits-160-rawIteration1	1.7	3.68	7.29	26.69	64.19	109.89	164.93	221.84		PatTrie-Rand-EvenSplits-160-rawIteration1	14.82	162.47	0.091	19155.0	0.071	0.625		PatTrie-Rand-EvenSplits-160-rawIteration1	23.62	46.72	69.6	92.58	115.54	138.66	161.4	184.42		PatTrie-Rand-EvenSplits-160-rawIteration1	12.35	25.58	38.12	51.0	63.58	76.33	89.65	102.04	1568509.0		PatTrie-Rand-EvenSplits-160-rawIteration1	38.12	83.89	120.98	156.48	182.74	205.77	225.47	231.27	
PatTrie-Rand-EvenSplits-160-rawIteration2	1.72	3.72	7.22	27.34	63.81	109.45	166.11	225.08		PatTrie-Rand-EvenSplits-160-rawIteration2	14.82	162.48	0.091	19148.0	0.071	0.622		PatTrie-Rand-EvenSplits-160-rawIteration2	22.98	46.4	69.64	92.71	115.29	138.38	161.72	184.56		PatTrie-Rand-EvenSplits-160-rawIteration2	12.32	25.24	37.76	50.56	63.23	75.84	89.11	101.46	1569303.0		PatTrie-Rand-EvenSplits-160-rawIteration2	44.51	84.06	124.24	160.59	186.56	211.81	225.68	229.82	
