Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000
BTree-Word-CompressSnappy-ArrayList-100-rawIteration2	0.11	0.24	0.98	2.08	3.89	6.29	8.02	9.41		BTree-Word-CompressSnappy-ArrayList-100-rawIteration2	14.38	136.51	0.105	17127	0.168	0.842		BTree-Word-CompressSnappy-ArrayList-100-rawIteration2	1.08	1.52	1.94	2.35	2.78	3.17	3.56	3.93		BTree-Word-CompressSnappy-ArrayList-100-rawIteration2	2.04	3.62	5.65	7.37	8.94	10.96	12.53	14.04	1.60779811E8		BTree-Word-CompressSnappy-ArrayList-100-rawIteration2	0.35	0.7	1.08	1.78	2.18	2.66	3.15	3.68
BTree-Word-CompressSnappy-200-rawIteration0	0.09	0.19	0.6	1.17	2.27	3.7	4.76	5.66		BTree-Word-CompressSnappy-200-rawIteration0	10.23	127.05	0.08	8310	0.228	0.859		BTree-Word-CompressSnappy-200-rawIteration0	0.95	1.4	1.88	2.31	2.8	3.27	3.69	4.12		BTree-Word-CompressSnappy-200-rawIteration0	2.19	3.95	5.91	7.71	9.64	11.79	13.81	15.53	1.60779811E8		BTree-Word-CompressSnappy-200-rawIteration0	0.2	0.41	0.63	0.84	1.07	1.34	1.63	2.04
BTree-Word-CompressSnappy-200-rawIteration1	0.09	0.19	0.59	1.18	2.24	3.57	4.68	5.33		BTree-Word-CompressSnappy-200-rawIteration1	10.23	127.05	0.08	8310	0.239	0.672		BTree-Word-CompressSnappy-200-rawIteration1	0.87	1.3	1.72	2.14	2.65	3.1	3.51	3.89		BTree-Word-CompressSnappy-200-rawIteration1	2.13	4.01	5.77	7.62	9.65	12.08	13.82	15.73	1.60779811E8		BTree-Word-CompressSnappy-200-rawIteration1	0.2	0.4	0.61	0.82	1.04	1.32	1.65	1.94
BTree-Word-CompressSnappy-200-rawIteration2	0.09	0.19	0.55	1.13	2.37	3.79	4.79	5.44		BTree-Word-CompressSnappy-200-rawIteration2	10.23	127.05	0.08	8310	0.228	0.653		BTree-Word-CompressSnappy-200-rawIteration2	0.89	1.3	1.71	2.13	2.6	3.04	3.44	3.8		BTree-Word-CompressSnappy-200-rawIteration2	2.11	3.84	5.66	7.69	9.65	12.04	13.71	15.65	1.60779811E8		BTree-Word-CompressSnappy-200-rawIteration2	0.19	0.41	0.64	0.85	1.06	1.33	1.62	1.91
BTree-Word-CompressGzip-ArrayList-100-rawIteration0	0.11	0.23	1.02	2.4	4.42	7.18	9.98	11.36		BTree-Word-CompressGzip-ArrayList-100-rawIteration0	10.67	136.41	0.078	17127	0.327	0.569		BTree-Word-CompressGzip-ArrayList-100-rawIteration0	1.66	2.21	2.69	3.12	3.62	4.07	4.42	4.79		BTree-Word-CompressGzip-ArrayList-100-rawIteration0	3	5.13	7.45	9.66	11.86	14.8	16.94	19.25	1.60779811E8		BTree-Word-CompressGzip-ArrayList-100-rawIteration0	0.71	1.15	1.67	2.15	2.62	3.47	3.97	4.64
BTree-Word-CompressGzip-ArrayList-100-rawIteration1	0.11	0.22	0.96	2.24	4.35	7.32	9.77	11.12		BTree-Word-CompressGzip-ArrayList-100-rawIteration1	10.67	136.41	0.078	17127	0.318	0.672		BTree-Word-CompressGzip-ArrayList-100-rawIteration1	1.64	2.17	2.63	3.05	3.55	3.99	4.45	4.8		BTree-Word-CompressGzip-ArrayList-100-rawIteration1	2.92	5.04	7.55	9.96	12.26	15.34	17.45	19.56	1.60779811E8		BTree-Word-CompressGzip-ArrayList-100-rawIteration1	0.43	0.87	1.37	1.84	2.74	3.3	3.94	4.49
BTree-Word-CompressGzip-ArrayList-100-rawIteration2	0.11	0.23	0.98	2.23	4.68	7.26	9.88	12.44		BTree-Word-CompressGzip-ArrayList-100-rawIteration2	10.67	136.41	0.078	17127	0.29	0.593		BTree-Word-CompressGzip-ArrayList-100-rawIteration2	1.63	2.16	2.66	3.07	3.57	4.01	4.43	4.84		BTree-Word-CompressGzip-ArrayList-100-rawIteration2	2.94	5.04	7.42	9.68	11.82	14.77	16.87	19.01	1.60779811E8		BTree-Word-CompressGzip-ArrayList-100-rawIteration2	0.45	0.89	1.38	1.86	2.37	2.92	3.45	4.65
BTree-Word-CompressGzip-200-rawIteration0	0.09	0.19	0.64	1.42	2.89	4.94	6.74	7.81		BTree-Word-CompressGzip-200-rawIteration0	7.17	126.93	0.056	8310	0.372	0.528		BTree-Word-CompressGzip-200-rawIteration0	1.62	2.2	2.76	3.28	3.99	4.64	5.17	5.72		BTree-Word-CompressGzip-200-rawIteration0	3.59	6.31	9.38	12.41	15.54	19.35	22.44	25.2	1.60779811E8		BTree-Word-CompressGzip-200-rawIteration0	0.27	0.55	0.85	1.16	1.46	1.77	2.06	2.72
BTree-Word-CompressGzip-200-rawIteration1	0.09	0.19	0.65	1.51	3.03	5.6	7.09	8.01		BTree-Word-CompressGzip-200-rawIteration1	7.17	126.93	0.056	8310	0.366	0.48		BTree-Word-CompressGzip-200-rawIteration1	1.5	2.04	2.59	3.12	3.82	4.43	4.98	5.46		BTree-Word-CompressGzip-200-rawIteration1	3.63	6.36	9.3	12.29	15.39	19.1	22.25	25	1.60779811E8		BTree-Word-CompressGzip-200-rawIteration1	0.27	0.56	0.86	1.16	1.45	1.76	2.05	2.37
BTree-Word-CompressGzip-200-rawIteration2	0.09	0.19	0.65	1.44	3.02	5.18	6.99	7.92		BTree-Word-CompressGzip-200-rawIteration2	7.17	126.93	0.056	8310	0.403	0.459		BTree-Word-CompressGzip-200-rawIteration2	1.55	2.08	2.63	3.14	3.82	4.44	4.96	5.46		BTree-Word-CompressGzip-200-rawIteration2	3.48	6.18	9.07	12.04	15.16	19.17	21.86	24.62	1.60779811E8		BTree-Word-CompressGzip-200-rawIteration2	0.28	0.55	0.84	1.14	1.44	1.74	2.01	2.43
