Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000	
SkipList-Seq-RBT-3000-rawIteration2	0.18	0.36	0.57	0.86	1.13	1.45	1.7	1.96		SkipList-Seq-RBT-3000-rawIteration2	5.14	152.15	0.034	323.0	0.244	0.053		SkipList-Seq-RBT-3000-rawIteration2	0.21	0.42	0.62	0.85	1.05	1.26	1.47	1.7		SkipList-Seq-RBT-3000-rawIteration2	5.25	10.7	16.28	22.2	27.99	33.82	39.2	45.16	8.0E7		SkipList-Seq-RBT-3000-rawIteration2	0.14	0.28	0.42	0.56	0.7	0.84	0.97	1.09	
SkipList-Seq-RBT-6000-rawIteration0	0.18	0.37	0.58	0.83	1.1	1.43	1.69	1.94		SkipList-Seq-RBT-6000-rawIteration0	5.07	152.08	0.033	180.0	0.242	0.029		SkipList-Seq-RBT-6000-rawIteration0	0.21	0.42	0.62	0.85	1.06	1.27	1.48	1.72		SkipList-Seq-RBT-6000-rawIteration0	5.21	10.64	16.27	21.88	27.58	32.61	38.34	43.62	8.0E7		SkipList-Seq-RBT-6000-rawIteration0	0.15	0.28	0.42	0.56	0.7	0.84	0.98	1.09	
SkipList-Seq-RBT-6000-rawIteration1	0.18	0.37	0.58	0.83	1.09	1.37	1.69	1.95		SkipList-Seq-RBT-6000-rawIteration1	5.08	152.09	0.033	184.0	0.245	0.03		SkipList-Seq-RBT-6000-rawIteration1	0.21	0.41	0.61	0.82	1.05	1.25	1.46	1.66		SkipList-Seq-RBT-6000-rawIteration1	5.17	10.6	15.93	21.68	27.0	32.82	38.14	44.05	8.0E7		SkipList-Seq-RBT-6000-rawIteration1	0.15	0.29	0.43	0.57	0.7	0.85	0.99	1.11	
SkipList-Seq-RBT-6000-rawIteration2	0.18	0.37	0.59	0.84	1.11	1.43	1.68	1.98		SkipList-Seq-RBT-6000-rawIteration2	5.06	152.08	0.033	165.0	0.237	0.031		SkipList-Seq-RBT-6000-rawIteration2	0.21	0.42	0.62	0.85	1.06	1.26	1.47	1.7		SkipList-Seq-RBT-6000-rawIteration2	5.2	10.68	16.05	21.58	27.17	32.22	38.03	43.38	8.0E7		SkipList-Seq-RBT-6000-rawIteration2	0.15	0.28	0.43	0.56	0.7	0.84	0.97	1.09	
SkipList-Seq-RBT-12000-rawIteration0	0.19	0.39	0.61	0.9	1.15	1.48	1.74	2.01		SkipList-Seq-RBT-12000-rawIteration0	5.03	152.04	0.033	75.0	0.235	0.017		SkipList-Seq-RBT-12000-rawIteration0	0.21	0.42	0.62	0.86	1.06	1.27	1.48	1.72		SkipList-Seq-RBT-12000-rawIteration0	5.26	10.74	16.35	22.01	27.28	32.85	38.19	44.13	8.0E7		SkipList-Seq-RBT-12000-rawIteration0	0.14	0.29	0.42	0.57	0.7	0.85	0.97	1.11	
SkipList-Seq-RBT-12000-rawIteration1	0.19	0.38	0.6	0.86	1.13	1.45	1.71	1.97		SkipList-Seq-RBT-12000-rawIteration1	5.04	152.04	0.033	94.0	0.24	0.017		SkipList-Seq-RBT-12000-rawIteration1	0.21	0.42	0.62	0.85	1.05	1.26	1.46	1.69		SkipList-Seq-RBT-12000-rawIteration1	5.14	10.5	15.79	21.4	27.1	32.16	38.14	43.94	8.0E7		SkipList-Seq-RBT-12000-rawIteration1	0.15	0.29	0.47	0.63	0.79	0.93	1.08	1.2	
SkipList-Seq-RBT-12000-rawIteration2	0.19	0.38	0.61	0.87	1.15	1.46	1.73	1.98		SkipList-Seq-RBT-12000-rawIteration2	5.03	152.04	0.033	92.0	0.24	0.017		SkipList-Seq-RBT-12000-rawIteration2	0.21	0.41	0.62	0.86	1.06	1.27	1.47	1.71		SkipList-Seq-RBT-12000-rawIteration2	5.21	10.66	16.11	21.69	26.92	32.64	37.97	43.91	8.0E7		SkipList-Seq-RBT-12000-rawIteration2	0.16	0.3	0.44	0.58	0.73	0.86	1.0	1.13	
SkipList-Seq-LinkedLinear-3000-rawIteration0	15.98	29.15	40.79	62.83	80.12	96.97	116.17	142.57		SkipList-Seq-LinkedLinear-3000-rawIteration0	5.16	128.15	0.04	331.0	0.003	0.001		SkipList-Seq-LinkedLinear-3000-rawIteration0	8.17	14.81	24.22	33.31	45.36	53.24	59.88	69.31		SkipList-Seq-LinkedLinear-3000-rawIteration0	14.16	28.33	43.07	56.83	71.49	86.58	101.01	115.4	8.0E7		SkipList-Seq-LinkedLinear-3000-rawIteration0	0.13	0.24	0.35	0.46	0.57	0.68	0.79	0.86	
SkipList-Seq-LinkedLinear-3000-rawIteration1	18.65	30.91	42.15	57.09	71.71	87.36	109.38	123.52		SkipList-Seq-LinkedLinear-3000-rawIteration1	5.16	128.16	0.04	352.0	0.004	0.001		SkipList-Seq-LinkedLinear-3000-rawIteration1	8.14	14.61	22.65	30.29	40.7	48.91	55.14	63.2		SkipList-Seq-LinkedLinear-3000-rawIteration1	12.63	26.33	40.29	53.1	66.15	79.69	92.53	105.99	8.0E7		SkipList-Seq-LinkedLinear-3000-rawIteration1	0.11	0.22	0.33	0.45	0.56	0.67	0.77	0.84	
SkipList-Seq-LinkedLinear-3000-rawIteration2	13.92	29.2	47.64	64.9	76.75	95.84	112.63	132.84		SkipList-Seq-LinkedLinear-3000-rawIteration2	5.15	128.16	0.04	336.0	0.003	0.001		SkipList-Seq-LinkedLinear-3000-rawIteration2	8.43	16.8	24.22	32.82	43.26	51.71	60.03	67.43		SkipList-Seq-LinkedLinear-3000-rawIteration2	13.13	27.51	41.41	54.75	68.56	82.67	96.11	109.77	8.0E7		SkipList-Seq-LinkedLinear-3000-rawIteration2	0.11	0.22	0.32	0.43	0.54	0.65	0.76	0.83	
