Insertions	125000	250000	375000	500000	625000	750000	875000	1000000		CacheStats	Disk Usage (MB)	Uncompressed Size (MB)	Compression Ratio	Parition Count	Serialization Time (%)	Disk Write Time (%)		Contains	200000	400000	600000	800000	1000000	1200000	1400000	1600000		PrefixSearches	100000	200000	300000	400000	500000	600000	700000	800000	TotalResults		Removals	93750	187500	281250	375000	468750	562500	656250	750000
BTree-Seq-RBT-5000-rawIteration2	0.12	0.3	0.51	0.8	1.02	1.25	1.48	1.71		BTree-Seq-RBT-5000-rawIteration2	5.18	152.22	0.034	400	0.251	0.085		BTree-Seq-RBT-5000-rawIteration2	0.21	0.41	0.61	0.81	1.01	1.31	1.51	1.71		BTree-Seq-RBT-5000-rawIteration2	5.41	10.74	16.68	22.23	27.63	33.36	38.97	44.73	8.0E7		BTree-Seq-RBT-5000-rawIteration2	0.13	0.25	0.38	0.5	0.63	0.75	0.88	0.98
BTree-Seq-RBT-15000-rawIteration0	0.19	0.39	0.61	0.82	1.05	1.29	1.52	1.75		BTree-Seq-RBT-15000-rawIteration0	5.06	152.07	0.033	134	0.234	0.02		BTree-Seq-RBT-15000-rawIteration0	0.21	0.4	0.59	0.79	1.05	1.25	1.45	1.66		BTree-Seq-RBT-15000-rawIteration0	4.91	10.87	16.49	21.82	27.74	33.01	38.46	44.41	8.0E7		BTree-Seq-RBT-15000-rawIteration0	0.13	0.26	0.39	0.52	0.65	0.78	0.91	1.01
BTree-Seq-RBT-15000-rawIteration1	0.14	0.34	0.55	0.77	0.99	1.22	1.45	1.68		BTree-Seq-RBT-15000-rawIteration1	5.06	152.07	0.033	134	0.244	0.029		BTree-Seq-RBT-15000-rawIteration1	0.2	0.4	0.59	0.8	1.07	1.26	1.46	1.66		BTree-Seq-RBT-15000-rawIteration1	5.35	10.56	16.55	22.2	27.63	33.1	38.72	44.21	8.0E7		BTree-Seq-RBT-15000-rawIteration1	0.13	0.27	0.4	0.53	0.65	0.79	0.91	1.01
BTree-Seq-RBT-15000-rawIteration2	0.14	0.34	0.55	0.77	0.99	1.22	1.44	1.68		BTree-Seq-RBT-15000-rawIteration2	5.06	152.07	0.033	134	0.262	0.049		BTree-Seq-RBT-15000-rawIteration2	0.2	0.4	0.59	0.79	1.06	1.27	1.48	1.7		BTree-Seq-RBT-15000-rawIteration2	5.47	10.75	16.32	21.65	27.5	32.69	38.61	44.05	8.0E7		BTree-Seq-RBT-15000-rawIteration2	0.13	0.26	0.38	0.51	0.64	0.77	0.9	1
BTree-Seq-RBT-25000-rawIteration0	0.14	0.34	0.56	0.78	1.01	1.25	1.5	1.75		BTree-Seq-RBT-25000-rawIteration0	5.03	152.04	0.033	80	0.24	0.015		BTree-Seq-RBT-25000-rawIteration0	0.2	0.4	0.59	0.79	1.05	1.25	1.44	1.63		BTree-Seq-RBT-25000-rawIteration0	5.2	10.32	16.03	21.45	26.72	32.06	37.67	43.07	8.0E7		BTree-Seq-RBT-25000-rawIteration0	0.14	0.28	0.41	0.54	0.67	0.8	0.93	1.04
BTree-Seq-RBT-25000-rawIteration1	0.14	0.33	0.55	0.77	1	1.24	1.49	1.73		BTree-Seq-RBT-25000-rawIteration1	5.03	152.04	0.033	80	0.242	0.017		BTree-Seq-RBT-25000-rawIteration1	0.2	0.4	0.59	0.79	1.05	1.25	1.45	1.64		BTree-Seq-RBT-25000-rawIteration1	5.45	10.65	16.12	21.34	27	32.05	37.87	43.16	8.0E7		BTree-Seq-RBT-25000-rawIteration1	0.14	0.29	0.43	0.59	0.73	0.89	1.02	1.14
BTree-Seq-RBT-25000-rawIteration2	0.15	0.38	0.63	0.86	1.11	1.38	1.64	1.9		BTree-Seq-RBT-25000-rawIteration2	5.03	152.04	0.033	80	0.237	0.018		BTree-Seq-RBT-25000-rawIteration2	0.2	0.43	0.65	0.87	1.15	1.36	1.58	1.78		BTree-Seq-RBT-25000-rawIteration2	5.73	10.96	16.44	22.15	27.42	32.51	38.71	44.29	8.0E7		BTree-Seq-RBT-25000-rawIteration2	0.13	0.27	0.4	0.54	0.67	0.81	0.93	1.04
BTree-Seq-LinkedLinear-5000-rawIteration0	6.94	14.15	21.59	29.36	37.45	45.97	55.4	64.81		BTree-Seq-LinkedLinear-5000-rawIteration0	5.2	128.2	0.041	400	0.007	0.002		BTree-Seq-LinkedLinear-5000-rawIteration0	3.41	7.06	10.98	15.09	19.53	22.93	26.55	30.47		BTree-Seq-LinkedLinear-5000-rawIteration0	7.17	15.18	23.09	30.53	38.27	45.96	54.01	61.75	8.0E7		BTree-Seq-LinkedLinear-5000-rawIteration0	0.09	0.17	0.25	0.33	0.41	0.49	0.55	0.59
BTree-Seq-LinkedLinear-5000-rawIteration1	6.88	14.02	21.51	29.23	37.35	45.81	54.6	63.7		BTree-Seq-LinkedLinear-5000-rawIteration1	5.2	128.2	0.041	400	0.008	0.002		BTree-Seq-LinkedLinear-5000-rawIteration1	3.41	7.05	10.96	15.03	19.47	22.89	26.52	30.46		BTree-Seq-LinkedLinear-5000-rawIteration1	7.14	15.04	22.6	30.47	38.08	45.75	53.13	61.08	8.0E7		BTree-Seq-LinkedLinear-5000-rawIteration1	0.08	0.16	0.24	0.32	0.4	0.49	0.56	0.61
BTree-Seq-LinkedLinear-5000-rawIteration2	7.84	15.07	22.59	30.34	38.4	46.84	55.63	64.78		BTree-Seq-LinkedLinear-5000-rawIteration2	5.2	128.2	0.041	400	0.007	0.002		BTree-Seq-LinkedLinear-5000-rawIteration2	3.52	7.45	11.43	15.5	19.84	23.25	26.91	30.83		BTree-Seq-LinkedLinear-5000-rawIteration2	7.17	15.11	22.73	30.04	37.63	45.28	52.7	60.43	8.0E7		BTree-Seq-LinkedLinear-5000-rawIteration2	0.08	0.16	0.24	0.32	0.4	0.48	0.54	0.58
